Satellite Name;Country;Users;Purpose;Orbit;Longitude of GEO;Perigee;Apogee;Eccentricity;Inclination;Period;Launch Date;Status;Final Date;Effective Lifetime;Expected Lifetime;Mass;Continent;log.Eccentricity
TDRS-3;USA;Government;Communications;GEO;-49;35693;35878;0,002194257;11,53;1436,06;29/09/1988;retired;01/12/2011;23,19;10;22;Americas;6,121911797
ORBCOMM FM-10;USA;Commercial;Communications;LEO;0;770;776;0,000419992;45;100,3;23/12/1997;censored;15/04/2023;25,33;5;5000;Americas;7,775275846
NOAA-15;USA;Government;Earth Observation;LEO;0;800;816;0,001114517;98,7;101;13/05/1998;censored;17/11/2023;25,53;3;4;Americas;6,79933453
ORBCOMM FM-14;USA;Commercial;Communications;LEO;0;789;794;0,000349089;45;100,7;02/08/1998;censored;15/04/2023;24,72;5;4;Americas;7,960184003
ORBCOMM FM-21;USA;Commercial;Communications;LEO;0;810;822;0,000834957;45;101,21;23/09/1998;censored;15/04/2023;24,58;5;5;Americas;7,088130498
Globalstar FM37;USA;Commercial;Communications;LEO;0;1411;1417;0,000385406;52;114,1;15/03/1999;censored;17/11/2023;24,69;10;9;Americas;7,861213335
USA 147;USA;Military;Earth Observation;LEO;0;837;851;0,000970335;98,9;101,8;12/12/1999;censored;17/11/2023;23,95;5;5;Americas;6,937868712
Brazilsat B-4;Brazil;Commercial;Communications;GEO;-84,03;35772;35800;0,0003321;0,07;1436,09;17/08/2000;retired;01/06/2021;20,8;12;2081;Americas;8,010074972
AMC-6;USA;Commercial;Communications;GEO;-71,98;35778;35795;0,00020163;0,05;1436,12;22/10/2000;censored;17/11/2023;23,08;15;2015;Americas;8,509077999
Sicral 1A;Italy;Military;Communications;GEO;16,25;35769;35802;0,000391408;1,01;1436,06;07/02/2001;retired;12/05/2021;20,27;12;2150;Europe;7,84576006
Intelsat 10;USA;Commercial;Communications;GEO;68,52;35776;35796;0,000237214;0,04;1436,08;14/05/2001;censored;17/11/2023;22,53;15;5910;Americas;8,346547209
Bispectral InfraRed Detector 2 (Bird 2);Germany;Government;Earth Observation;LEO;0;500;521;0,001526052;97,9;94,8;22/10/2001;retired;31/12/2005;4,19;1,5;12;Europe;6,485071346
Echostar 7;USA;Commercial;Communications;GEO;-118,85;35782;35789;8,30E-05;0,01;1436,07;21/02/2002;retired;06/05/2022;20,22;12;12;Americas;9,396357473
TDRS-9;USA;Government;Communications;GEO;-62,43;35768;35809;0,00048626;0,02;1436,11;08/03/2002;retired;05/01/2023;20,84;15;12;Americas;7,628766718
JCSat 2A;Japan;Commercial;Communications;GEO;154;35788;35794;7,12E-05;0,01;1436,1;29/03/2002;censored;17/11/2023;21,65;11;12;Asia;9,550638613
Intelsat 905;USA;Commercial;Communications;GEO;-24,52;35768;35805;0,000438841;0,01;1436,12;05/06/2002;censored;17/11/2023;21,47;13;5550;Americas;7,731373431
Intelsat 906;USA;Commercial;Communications;GEO;64,19;35775;35796;0,000249078;0,01;1436,07;06/09/2002;censored;17/11/2023;21,21;13;6465;Americas;8,297745184
Echostar 9/Galaxy 23;USA;Commercial;Communications;GEO;-121,02;35775;35797;0,000260936;0,01;1436,08;08/08/2003;censored;17/11/2023;20,29;13;3700;Americas;8,251237029
Galaxy-13;USA;Commercial;Communications;GEO;-126,97;35781;35790;0,000106748;0,01;1436,07;01/10/2003;censored;17/11/2023;20,14;15;4500;Americas;9,145043044
USA 172;USA;Military;Earth Observation;LEO;0;843;852;0,000623485;98,9;101,87;18/10/2003;censored;17/11/2023;20,1;5;6140;Americas;7,380186515
